loss,mae,val_loss,val_mae
0.008754007518291473,0.06314083933830261,0.0023180260322988033,0.036754947155714035
0.0025817728601396084,0.03841022402048111,0.0020245900377631187,0.03349975496530533
0.002281700260937214,0.035939544439315796,0.0021187455859035254,0.03472733125090599
0.0021526464261114597,0.03477926924824715,0.0021379252430051565,0.0352676697075367
0.002104543847963214,0.03434894606471062,0.001955919899046421,0.03382928669452667
0.002038756385445595,0.03374912589788437,0.0018797168741002679,0.0315718799829483
0.0019860216416418552,0.03326598182320595,0.0017797891050577164,0.030479099601507187
0.0019474857253953815,0.032931555062532425,0.0018327105790376663,0.03123307414352894
0.0019173804903402925,0.032648563385009766,0.0017898230580613017,0.0305581483989954
0.0018992555560544133,0.03244423866271973,0.0017517944797873497,0.030556611716747284
