loss,mae,val_loss,val_mae,learning_rate
0.005544306244701147,0.04964619129896164,0.002303502056747675,0.03588450700044632,0.0010000000474974513
0.0019315045792609453,0.032654400914907455,0.002026800299063325,0.03308769688010216,0.0010000000474974513
0.0017656943527981639,0.03100697696208954,0.001855765120126307,0.0312555655837059,0.0010000000474974513
0.0016687186434864998,0.029977314174175262,0.0018353159539401531,0.030788881704211235,0.0010000000474974513
0.0016184444539248943,0.02942846715450287,0.001794923678971827,0.030534587800502777,0.0010000000474974513
0.0014923367416486144,0.02792622148990631,0.001746458699926734,0.0298293586820364,0.0005000000237487257
0.0014812338631600142,0.0278028454631567,0.0016601596726104617,0.029293274506926537,0.0005000000237487257
0.0014562004944309592,0.027478203177452087,0.0017050051828846335,0.029901182278990746,0.0005000000237487257
0.0013951071305200458,0.02670995518565178,0.001644941046833992,0.02901303395628929,0.0002500000118743628
0.0013864198699593544,0.026589473709464073,0.001643846626393497,0.029161956161260605,0.0002500000118743628
