loss,mae,val_loss,val_mae
0.007057676091790199,0.058116618543863297,0.002579582156613469,0.038148123770952225
0.002428937703371048,0.037374310195446014,0.002060944912955165,0.033810947090387344
0.0020090914331376553,0.033479105681180954,0.0018242773367092013,0.030894696712493896
0.0018499362049624324,0.031950972974300385,0.0017076516523957253,0.030188117176294327
0.0017737417947500944,0.03118322603404522,0.001850878936238587,0.030992558225989342
0.0017059540841728449,0.030530262738466263,0.0016656171064823866,0.029586728662252426
0.0016537155024707317,0.029958423227071762,0.0016090929275378585,0.02904140204191208
0.0016078652115538716,0.029518483206629753,0.0015658715274184942,0.028125884011387825
0.0015812432393431664,0.02918758988380432,0.001520810299552977,0.02780691534280777
0.001539639662951231,0.028769753873348236,0.0015065993648022413,0.02731126733124256
