loss,mae,val_loss,val_mae
0.009123405441641808,0.06166774407029152,0.002918357029557228,0.04135800153017044
0.0022290563210844994,0.035441115498542786,0.002177820075303316,0.03491649776697159
0.0018141476903110743,0.031530097126960754,0.001985151320695877,0.03262757137417793
0.001705114496871829,0.030358126387000084,0.0018160524778068066,0.031343478709459305
0.0016186624998226762,0.02942112646996975,0.0017978925025090575,0.03095921128988266
0.0015660685021430254,0.028820186853408813,0.0017763618379831314,0.030597982928156853
0.001533619943074882,0.028457263484597206,0.0017062932020053267,0.030076732859015465
0.0014926696894690394,0.02801072783768177,0.0017344864318147302,0.030252747237682343
0.001462094602175057,0.027604009956121445,0.0017829462885856628,0.0300962682813406
0.0014374133897945285,0.02733667939901352,0.0016315863467752934,0.02948804944753647
