Datetime,PJME_MW,year,month,hour,day_num,day_of_month,week_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24
2002-01-09 01:00:00,0.3062888444116717,2002,1,1,2,9,2,0,0.3454966817655114,0.31393658485199616,0.28604234699252085,0.4565556027594019,0.23407609782287433
2002-01-09 02:00:00,0.2867375961234594,2002,1,2,2,9,2,0,0.3062888444116717,0.2976087643526809,0.27163172864215734,0.45609662964536424,0.2363770783940015
2002-01-09 03:00:00,0.27989044559148846,2002,1,3,2,9,2,0,0.2867375961234594,0.2913936584851996,0.26876645949647104,0.4554442050535089,0.24015314919911893
2002-01-09 04:00:00,0.27841567470767936,2002,1,4,2,9,2,0,0.27989044559148846,0.2949120404508585,0.2736542715685242,0.45475384879933645,0.24429918083939886
2002-01-09 05:00:00,0.2899820920678394,2002,1,5,2,9,2,0,0.27841567470767936,0.3100600442431265,0.29202570314968923,0.4537638324128582,0.25009537215053157
2002-01-09 06:00:00,0.32918992942167913,2002,1,6,2,9,2,0,0.2899820920678394,0.3540292847361214,0.3413883914463288,0.452558869939916,0.25628124739037583
2002-01-09 07:00:00,0.4154008216580638,2002,1,7,2,9,2,0,0.32918992942167913,0.43802802064679236,0.42517644580216996,0.45106815561085123,0.261036088545643
2002-01-09 08:00:00,0.46708100705783206,2002,1,8,2,9,2,0,0.4154008216580638,0.49082481828715896,0.47970083219214155,0.44971020209989676,0.26022319405426764
2002-01-09 09:00:00,0.46244601285157483,2002,1,9,2,9,2,0,0.46708100705783206,0.4818919203623723,0.4798904455914884,0.44828523598551506,0.2560215739595689
2002-01-09 10:00:00,0.4608237648793848,2002,1,10,2,9,2,0,0.46244601285157483,0.46939850416096063,0.473843884967871,0.4471182051748902,0.2528535827547874
2002-01-09 11:00:00,0.46318339829347943,2002,1,11,2,9,2,0,0.4608237648793848,0.46265669440640467,0.46800800589908353,0.44660359895612045,0.25159780998584524
2002-01-09 12:00:00,0.4558516801853998,2002,1,12,2,9,2,0,0.46318339829347943,0.4465816917728852,0.45802170020014743,0.4466352086747182,0.2516721960954573
2002-01-09 13:00:00,0.4456757610871168,2002,1,13,2,9,2,0,0.4558516801853998,0.4342989571263036,0.4425155377646687,0.4471915397220366,0.2526829484093488
2002-01-09 14:00:00,0.4381754977351733,2002,1,14,2,9,2,0,0.4456757610871168,0.4223533129674497,0.43050668913936585,0.44787430964374575,0.2535648233915673
2002-01-09 15:00:00,0.4257031496892447,2002,1,15,2,9,2,0,0.4381754977351733,0.4115453492046771,0.4163067523438323,0.448823865590419,0.25435318316495803
2002-01-09 16:00:00,0.42483935531444217,2002,1,16,2,9,2,0,0.4257031496892447,0.41002844200990196,0.41346255135362897,0.44967353482632355,0.25459384188696366
2002-01-09 17:00:00,0.4410196987253766,2002,1,17,2,9,2,0,0.42483935531444217,0.43665859054039813,0.44517012535552514,0.4505624001132892,0.2547745330520771
2002-01-09 18:00:00,0.4938375645212262,2002,1,18,2,9,2,0,0.4410196987253766,0.5105867481302012,0.5264510692088907,0.4508241285832776,0.25507213128708217
2002-01-09 19:00:00,0.4965132202675655,2002,1,19,2,9,2,0,0.4938375645212262,0.5247234804592857,0.5363531022858948,0.4498189395318727,0.25106648226805817
