iter	RMSE
207	19490.12135
208	19439.357
209	19396.67671
210	19363.40542
211	19327.32554
212	19303.6924
213	19267.00177
214	19242.04995
215	19207.28112
216	19193.04753
217	19160.14337
218	19121.81904
219	19114.88927
220	19087.58278
221	19061.92087
222	19040.50301
223	19011.59722
224	18976.65435
225	18955.75001
226	18922.9758
227	18876.13923
228	18866.2452
229	18839.51322
230	18818.1088
231	18800.70236
232	18782.24403
233	18760.602
234	18737.13498
235	18708.55502
236	18684.84791
237	18662.16312
238	18638.67818
239	18625.40939
240	18581.65209
241	18564.55065
242	18529.97512
243	18514.03505
244	18488.03001
245	18481.61296
246	18455.40125
247	18421.6298
248	18402.55414
249	18352.76837
250	18325.82542
251	18292.65275
252	18273.47977
253	18268.59907
254	18258.26937
255	18239.59186
256	18215.61228
257	18193.70934
258	18169.40546
259	18141.17819
260	18114.37599
261	18073.15701
262	18050.42666
263	18027.33742
264	18006.33697
265	17959.96677
266	17936.20377
267	17920.35981
268	17898.94525
269	17894.27088
270	17872.70617
271	17844.93807
272	17817.241
273	17800.69459
274	17781.52795
275	17750.16448
276	17727.79348
277	17695.18319
278	17668.08548
279	17647.57331
280	17626.79776
281	17607.00324
282	17586.30481
283	17572.63705
284	17554.11261
285	17525.79394
286	17508.99642
287	17484.95197
288	17466.76662
289	17447.56033
290	17414.38281
291	17394.48026
292	17368.71526
293	17355.13432
294	17331.99734
295	17315.35964
296	17298.66441
297	17275.01312
298	17261.31213
299	17242.79191
300	17229.25856
301	17209.02388
302	17193.52754
303	17172.52648
304	17163.53182
305	17129.30069
306	17100.38714
307	17071.89858
308	17054.78012
309	17037.56003
310	17008.02194
311	16986.66418
312	16957.13665
313	16926.2946
314	16918.00951
315	16911.23456
316	16893.68216
317	16878.17337
318	16844.44259
319	16826.95994
320	16785.84711
321	16757.17014
322	16748.99717
323	16741.16929
324	16735.43424
325	16719.42988
326	16691.38914
327	16675.6527
328	16643.64655
329	16620.09029
330	16605.53981
331	16574.58851
332	16546.50634
333	16531.53071
334	16520.14442
335	16511.61184
336	16506.25508
337	16491.36886
338	16485.06295
339	16465.23194
340	16449.86173
341	16430.53725
342	16405.18627
343	16374.17642
344	16357.87954
345	16342.64272
346	16327.41467
347	16312.78028
348	16294.63208
349	16276.94068
350	16255.4818
351	16230.83567
352	16207.27785
353	16175.795
354	16146.89504
355	16145.06899
356	16126.85632
357	16103.38736
358	16085.01708
359	16073.04121
360	16061.08391
361	16041.31306
362	16018.26733
363	15990.86587
364	15988.65116
365	15985.80734
366	15950.49552
367	15920.68178
368	15902.29685
369	15884.86919
370	15856.79762
371	15839.72026
372	15837.08132
373	15809.89196
374	15786.59997
375	15774.70637
376	15762.59821
377	15750.45579
378	15707.80125
379	15702.00047
380	15677.76984
381	15672.27798
382	15646.85753
383	15626.5368
384	15602.66477
385	15576.00229
386	15555.8561
387	15553.29951
388	15533.80619
389	15508.3464
390	15489.89553
391	15482.20648
392	15460.84747
393	15448.21746
394	15437.71694
395	15423.83443
396	15412.69961
397	15391.18975
398	15379.78884
399	15367.17337
400	15347.32816
401	15334.41871
402	15314.80904
403	15307.47632
404	15289.35839
405	15268.31827
406	15247.85787
407	15224.06372
408	15205.5667
409	15183.32475
410	15169.72775
411	15159.70943
412	15147.9162
413	15128.20103
414	15124.44993
415	15110.78534
416	15105.22078
417	15091.78977
418	15078.94783
419	15052.10582
420	15037.95327
421	15032.43002
422	15014.10749
423	14994.89928
424	14968.30932
425	14967.16814
426	14957.92653
427	14956.82706
428	14950.20749
429	14949.1456
430	14946.9002
431	14926.91646
432	14903.95755
433	14888.07008
434	14878.98251
435	14877.5833
436	14864.50184
437	14848.65648
438	14832.20794
439	14814.86983
440	14809.10922
441	14790.6183
442	14779.34119
443	14761.50851
444	14739.66556
445	14732.06831
446	14728.95866
447	14727.54772
448	14726.736
449	14703.19743
450	14702.2964
451	14690.90905
452	14666.13592
453	14636.3916
454	14634.81331
455	14616.89085
456	14596.97742
457	14579.74572
458	14564.94823
459	14543.91634
460	14522.58976
461	14511.57365
462	14487.82713
463	14455.30706
464	14437.81191
465	14428.63108
466	14397.07754
467	14380.24928
468	14369.73711
469	14364.41752
470	14345.82974
471	14326.9109
472	14311.3704
473	14307.7542
474	14288.16416
475	14265.55948
476	14251.88442
477	14229.62326
478	14211.6376
479	14203.49443
480	14187.4874
481	14167.06675
482	14162.76783
483	14143.225
484	14131.72334
485	14114.86302
486	14102.20992
487	14101.52387
488	14097.75843
489	14082.01635
490	14068.79296
491	14057.86572
492	14047.8274
493	14027.71397
494	14004.73996
495	13991.13292
496	13976.04173
497	13950.03945
498	13949.32846
499	13929.26807
500	13928.47456
501	13912.25537
502	13898.74032
503	13883.98436
504	13851.06596
505	13832.0758
506	13827.4726
507	13825.0339
508	13824.35621
509	13805.48157
510	13804.77822
511	13803.36417
512	13789.99545
513	13764.57775
514	13743.96972
515	13738.00015
516	13716.55255
517	13705.32729
518	13704.7414
519	13677.71602
520	13658.74659
521	13642.58715
522	13632.26411
523	13612.13141
524	13590.31484
525	13582.17144
526	13569.49153
527	13553.18618
528	13539.63286
529	13525.92228
530	13497.27835
531	13478.20058
532	13459.09494
533	13452.21225
534	13438.38393
535	13421.47603
536	13405.17369
537	13395.43322
538	13379.89252
539	13368.98739
540	13350.09967
541	13333.3737
542	13315.44316
543	13300.77821
544	13279.51425
545	13265.71552
546	13253.33931
547	13252.83603
548	13240.31632
549	13220.74388
550	13210.01887
551	13191.25902
552	13182.11271
553	13167.826
554	13155.28865
555	13140.64615
556	13113.55605
557	13100.21
558	13099.8073
559	13094.09805
560	13075.82282
561	13053.20773
562	13040.94173
563	13024.00633
564	13006.10193
565	12998.11351
566	12986.29169
567	12966.3488
568	12950.44608
569	12942.74374
570	12933.70238
571	12926.93645
572	12910.41837
573	12909.9505
574	12893.31163
575	12882.83893
576	12865.54412
577	12848.40535
578	12837.70157
579	12819.15466
580	12805.53646
581	12790.0097
582	12779.67664
583	12769.14547
584	12759.61052
585	12743.99869
586	12737.50341
587	12725.90512
588	12719.67271
589	12706.72773
590	12701.6422
591	12686.27348
592	12668.87112
593	12661.17394
594	12648.56165
595	12644.46595
596	12634.93696
597	12626.33903
598	12613.27081
599	12604.36947
600	12584.98925
601	12572.5873
602	12564.93014
603	12552.02354
604	12534.45361
605	12523.96591
606	12523.5335
607	12506.86381
608	12500.00614
609	12485.52588
610	12477.34589
611	12456.36738
612	12445.06714
613	12437.29447
614	12426.22402
615	12415.62098
616	12402.79584
617	12392.21639
618	12372.84126
619	12357.6746
620	12344.68287
621	12331.8868
622	12312.48119
623	12300.24101
624	12295.33893
625	12283.45362
626	12279.39441
627	12261.23349
628	12254.2495
629	12246.40052
630	12237.67698
631	12236.47495
632	12227.79825
633	12219.79204
634	12205.62764
635	12196.77763
636	12182.95778
637	12174.48896
638	12169.28361
639	12156.24185
640	12150.90671
641	12143.0979
642	12136.48557
643	12127.25434
644	12109.6679
645	12100.32339
646	12074.48126
647	12067.1774
648	12058.60892
649	12045.80879
650	12032.4036
651	12027.18362
652	12016.54273
653	11998.6048
654	11998.29946
655	11981.95744
656	11970.2433
657	11963.9163
658	11948.72056
659	11934.0725
660	11925.5751
661	11913.55814
662	11910.16458
663	11903.48024
664	11896.17964
665	11881.06832
666	11872.89316
667	11867.36636
668	11862.34925
669	11843.43231
670	11838.63276
671	11831.26407
672	11818.02089
673	11809.60094
674	11797.10724
675	11794.22547
676	11786.66871
677	11777.13366
678	11768.08029
679	11763.48076
680	11760.53998
681	11742.13612
682	11729.47263
683	11715.68301
684	11711.60817
685	11697.01992
686	11681.83913
687	11674.07176
688	11667.05306
689	11655.209
690	11640.35842
691	11630.63961
692	11623.02493
693	11613.08621
694	11597.21138
695	11586.41498
696	11572.42777
697	11565.65388
698	11555.35035
699	11543.10627
700	11530.46277
701	11522.61397
702	11519.84429
703	11504.58419
704	11493.04606
705	11490.03239
706	11486.84313
707	11477.35585
708	11470.7147
709	11455.95665
710	11447.17958
711	11432.78388
712	11418.72633
713	11405.83178
714	11391.88769
715	11383.24866
716	11371.37983
717	11360.59699
718	11346.07698
719	11337.60638
720	11327.25775
721	11314.40255
722	11306.28674
723	11301.60553
724	11295.90016
725	11290.07134
726	11276.6944
727	11262.58087
728	11253.82911
729	11246.22041
730	11233.89845
731	11232.01326
732	11226.94694
733	11210.96846
734	11205.85448
735	11197.21889
736	11196.05011
737	11190.61298
738	11167.00625
739	11163.18676
740	11151.91483
741	11140.20818
742	11130.03045
743	11119.8861
744	11111.91189
745	11106.13944
746	11092.13103
747	11082.27553
748	11072.61551
749	11065.65985
750	11057.59729
751	11049.55306
752	11041.64489
753	11039.02294
754	11028.51382
755	11022.19519
756	11005.51445
757	10993.85522
758	10989.71011
759	10983.76843
760	10973.30922
761	10957.20724
762	10949.6147
763	10936.55718
764	10927.1677
765	10919.61027
766	10905.23468
767	10899.42531
768	10892.48845
769	10888.57725
770	10880.86725
771	10877.78143
772	10874.37745
773	10861.81874
774	10852.44345
775	10844.12285
776	10841.96584
777	10835.6887
778	10823.00943
779	10815.7853
780	10807.32147
781	10796.5743
782	10789.01328
783	10768.5053
784	10754.60477
785	10744.2435
786	10732.6336
787	10726.42757
788	10713.22684
789	10706.86129
790	10701.39966
791	10700.72076
792	10693.46684
793	10682.73551
794	10679.10337
795	10671.61386
796	10661.10474
797	10654.57538
798	10640.37181
799	10635.23014
800	10626.24563
801	10612.0472
802	10605.54334
803	10594.18766
804	10579.6441
805	10571.14739
806	10561.81642
807	10551.40524
808	10541.62168
809	10532.63682
810	10525.04572
811	10521.6569
812	10506.12184
813	10498.83713
814	10487.4247
815	10481.5324
816	10472.1266
817	10462.89232
818	10450.95861
819	10444.29011
820	10435.55875
821	10427.55174
822	10416.04415
823	10410.85765
824	10406.82297
825	10397.77087
826	10389.59322
827	10382.40316
828	10369.21364
829	10358.36265
830	10353.11018
831	10341.21209
832	10328.34868
833	10312.54494
834	10300.60409
835	10291.54016
836	10283.0078
837	10273.67302
838	10264.63132
839	10258.88203
840	10247.3438
841	10238.16663
842	10229.7032
843	10225.32865
844	10216.93196
845	10205.7204
846	10200.1159
847	10191.35458
848	10186.96014
849	10176.42182
850	10171.8491
851	10163.78374
852	10160.72432
853	10153.07659
854	10146.06721
855	10138.742
856	10134.45035
857	10126.07573
858	10116.8336
859	10108.46849
860	10099.94852
861	10097.37389
862	10088.67006
863	10080.72174
864	10072.6452
865	10061.80325
866	10061.10381
867	10052.06449
868	10042.81507
869	10035.44225
870	10026.31337
871	10018.28438
872	10011.24772
873	10006.13839
874	9997.819665
875	9997.519186
876	9991.101953
877	9985.726156
878	9979.076555
879	9967.714057
880	9954.813527
881	9947.694711
882	9934.959332
883	9927.581812
884	9911.987789
885	9911.456119
886	9902.645622
887	9893.082627
888	9889.850471
889	9883.70372
890	9871.48063
891	9857.663648
892	9852.738831
893	9848.425484
894	9841.441266
895	9837.1844
896	9836.941951
897	9823.994633
898	9812.018593
899	9805.681948
900	9795.718711
901	9788.696689
902	9780.562604
903	9773.844376
904	9762.927842
905	9762.641056
906	9758.710528
907	9751.053576
908	9747.646851
909	9744.470502
910	9737.46948
911	9726.902735
912	9719.073615
913	9711.237583
914	9710.857192
915	9705.710279
916	9697.962038
917	9694.049891
918	9689.880807
919	9685.144056
920	9684.180167
921	9682.388562
922	9674.910204
923	9665.390189
924	9656.34512
925	9647.465806
926	9642.414877
927	9635.915327
928	9630.503018
929	9621.448752
930	9615.656781
931	9609.214791
932	9605.477378
933	9597.388701
934	9594.154996
935	9587.65617
936	9579.320729
937	9574.90934
938	9566.360841
939	9553.920581
940	9545.876461
941	9538.596081
942	9529.781214
943	9518.543853
944	9509.089642
945	9503.079427
946	9498.376005
947	9490.257887
948	9476.467396
949	9465.106086
950	9452.929732
951	9447.427349
952	9445.882485
953	9440.782231
954	9428.762822
955	9421.26742
956	9409.592233
957	9403.011688
958	9397.287106
959	9385.407883
960	9382.820988
961	9365.996718
962	9357.022523
963	9341.063528
964	9335.926877
965	9328.322613
966	9325.286075
967	9322.281862
968	9313.89969
969	9307.593034
970	9296.289445
971	9289.277737
972	9283.236715
973	9277.574837
974	9274.304208
975	9270.508716
976	9270.191156
977	9263.035178
978	9258.624146
979	9249.806261
980	9237.65901
981	9230.995712
982	9221.673329
983	9211.7002
984	9203.456018
985	9196.4397
986	9196.215479
987	9190.193063
988	9180.916299
989	9174.656783
990	9166.480914
991	9157.281143
992	9149.024871
993	9143.845183
994	9133.512482
995	9128.875542
996	9118.034333
997	9110.939379
998	9103.601081
999	9096.867101
